table_id,table_path_template,first_data_freeze
birth_mother,sandbox_tools_{datafreeze}.birth_mother_{datafreeze}_{version},12
code_prevalence_stratified,sandbox_tools_{datafreeze}.code_prevalence_stratified_{datafreeze}_{version},12
covariates,sandbox_tools_{datafreeze}.covariates_{datafreeze}_{version},12
drug_events,sandbox_tools_{datafreeze}.drug_events_{datafreeze}_{version},12
endpoint_cohorts,sandbox_tools_{datafreeze}.endpoint_cohorts_{datafreeze}_{version},12
fg_codes_info,medical_codes.fg_codes_info_{version},0
finngen_vnrs,medical_codes.finngen_vnr_{version},0
hla_imputed,sandbox_tools_{datafreeze}.hla_imputed_{datafreeze}_{version},14
kanta,sandbox_tools_{datafreeze}.kanta_{datafreeze}_{version},12
kanta_medication_delivery,sandbox_tools_{datafreeze}.kanta_medication_delivery_{datafreeze}_{version},12
kanta_prescription,sandbox_tools_{datafreeze}.kanta_prescription_{datafreeze}_{version},12
kidney,sandbox_tools_{datafreeze}.kidney_{datafreeze}_{version},12
minimum_extended,sandbox_tools_{datafreeze}.minimum_extended_{datafreeze}_{version},11
other_drugs,sandbox_tools_{datafreeze}.other_drugs_{datafreeze}_{version},12
plasma_samples,sandbox_tools_{datafreeze}.plasma_samples_{datafreeze}_{version},13
service_sector_detailed_longitudinal,sandbox_tools_{datafreeze}.finngen_{datafreeze}_service_sector_detailed_longitudinal,11
spirometry,sandbox_tools_{datafreeze}.spirometry_{datafreeze}_{version},12
vaccination,sandbox_tools_{datafreeze}.vaccination_{datafreeze}_{version},12
vision,sandbox_tools_{datafreeze}.vision_{datafreeze}_{version},12
cdm_concept,finngen_omop_{datafreeze}_{version}.concept,0
cdm_person,finngen_omop_{datafreeze}_{version}.person,0
cdm_observation_period,finngen_omop_{datafreeze}_{version}.observation_period,0
cdm_visit_occurrence,finngen_omop_{datafreeze}_{version}.visit_occurrence,0
cdm_visit_detail,finngen_omop_{datafreeze}_{version}.visit_detail,0
cdm_condition_occurrence,finngen_omop_{datafreeze}_{version}.condition_occurrence,0
cdm_drug_exposure,finngen_omop_{datafreeze}_{version}.drug_exposure,0
cdm_procedure_occurrence,finngen_omop_{datafreeze}_{version}.procedure_occurrence,0
cdm_device_exposure,finngen_omop_{datafreeze}_{version}.device_exposure,0
cdm_measurement,finngen_omop_{datafreeze}_{version}.measurement,0
cdm_observation,finngen_omop_{datafreeze}_{version}.observation,0
cdm_death,finngen_omop_{datafreeze}_{version}.death,0
cdm_note,finngen_omop_{datafreeze}_{version}.note,0
cdm_note_nlp,finngen_omop_{datafreeze}_{version}.note_nlp,0
cdm_specimen,finngen_omop_{datafreeze}_{version}.specimen,0
cdm_fact_relationship,finngen_omop_{datafreeze}_{version}.fact_relationship,0
cdm_location,finngen_omop_{datafreeze}_{version}.location,0
cdm_care_site,finngen_omop_{datafreeze}_{version}.care_site,0
cdm_provider,finngen_omop_{datafreeze}_{version}.provider,0
cdm_payer_plan_period,finngen_omop_{datafreeze}_{version}.payer_plan_period,0
cdm_cost,finngen_omop_{datafreeze}_{version}.cost,0
cdm_drug_era,finngen_omop_{datafreeze}_{version}.drug_era,0
cdm_dose_era,finngen_omop_{datafreeze}_{version}.dose_era,0
cdm_condition_era,finngen_omop_{datafreeze}_{version}.condition_era,0
cdm_episode,finngen_omop_{datafreeze}_{version}.episode,0
cdm_episode_event,finngen_omop_{datafreeze}_{version}.episode_event,0
cdm_metadata,finngen_omop_{datafreeze}_{version}.metadata,0
cdm_cdm_source,finngen_omop_{datafreeze}_{version}.cdm_source,0
cdm_vocabulary,finngen_omop_{datafreeze}_{version}.vocabulary,0
cdm_domain,finngen_omop_{datafreeze}_{version}.domain,0
cdm_concept_class,finngen_omop_{datafreeze}_{version}.concept_class,0
cdm_concept_relationship,finngen_omop_{datafreeze}_{version}.concept_relationship,0
cdm_relationship,finngen_omop_{datafreeze}_{version}.relationship,0
cdm_concept_synonym,finngen_omop_{datafreeze}_{version}.concept_synonym,0
cdm_concept_ancestor,finngen_omop_{datafreeze}_{version}.concept_ancestor,0
cdm_source_to_concept_map,finngen_omop_{datafreeze}_{version}.source_to_concept_map,0
cdm_drug_strength,finngen_omop_{datafreeze}_{version}.drug_strength,0
cdm_cohort,finngen_omop_{datafreeze}_{version}.cohort,0
cdm_cohort_definition,finngen_omop_{datafreeze}_{version}.cohort_definition,0
